City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
289,Millinocket,US,45.66,-68.71,32.0,88,1,2.8,clear sky
290,Onega,RU,63.91,38.14,42.33,92,98,7.18,overcast clouds
291,Hovd,MN,48.01,91.64,37.31,65,68,1.1,broken clouds
292,Ancud,CL,-41.87,-73.82,46.99,87,70,3.36,broken clouds
293,Iqaluit,CA,63.75,-68.51,33.8,93,75,14.99,broken clouds
294,Hazorasp,UZ,41.32,61.07,41.0,44,0,4.7,clear sky
295,Nayoro,JP,44.35,142.46,64.44,66,99,7.9,heavy intensity rain
296,Toktogul,KG,41.87,72.94,51.15,50,20,0.78,few clouds
297,Kodiak,US,57.79,-152.41,44.6,70,90,9.17,overcast clouds
298,Manokwari,ID,-0.87,134.08,86.0,62,93,5.08,overcast clouds
299,Bac Lieu,VN,9.29,105.72,79.97,87,100,16.46,light rain
300,Saint George,US,37.1,-113.58,77.0,20,1,16.11,clear sky
301,Makhinjauri,GE,41.67,41.69,60.8,82,0,16.11,clear sky
302,Inhambane,MZ,-23.86,35.38,68.29,77,100,14.03,overcast clouds
303,Hoquiam,US,46.98,-123.89,61.0,82,90,29.97,overcast clouds
304,Urusha,RU,54.05,122.9,29.3,84,100,10.33,overcast clouds
305,Keti Bandar,PK,24.14,67.45,85.6,57,0,9.57,clear sky
306,Kaeo,NZ,-35.1,173.78,63.0,91,96,15.01,overcast clouds
307,Svetlogorsk,BY,52.63,29.73,51.55,83,100,1.54,overcast clouds
308,Kavieng,PG,-2.57,150.8,84.79,70,95,8.72,overcast clouds
309,Holovyne,UA,50.47,28.83,50.9,95,1,5.12,clear sky
310,Paamiut,GL,61.99,-49.67,41.09,89,100,9.1,moderate rain
311,Megion,RU,61.03,76.11,33.8,100,90,8.95,light rain
312,Broken Hill,AU,-31.95,141.43,75.2,23,77,10.29,broken clouds
313,Brcko,BA,44.87,18.81,55.0,90,100,3.0,light rain
314,Ola,RU,59.58,151.28,43.02,60,42,4.29,scattered clouds
315,Karratha,AU,-20.74,116.85,93.7,22,0,10.78,clear sky
316,Baramati,IN,18.15,74.58,73.56,77,100,6.29,overcast clouds
317,Deer Lake,CA,49.17,-57.43,35.6,80,40,10.29,scattered clouds
318,Port Blair,IN,11.67,92.75,79.65,87,100,17.36,moderate rain
319,Gamba,GA,-2.65,10.0,75.34,88,100,9.01,light rain
320,Fort Nelson,CA,58.81,-122.7,37.4,100,75,6.93,broken clouds
321,Avarua,CK,-21.21,-159.78,75.2,83,93,3.36,light rain
322,Ayagoz,KZ,47.97,80.44,38.95,85,100,14.7,light rain
323,Nanortalik,GL,60.14,-45.24,41.63,83,100,23.29,moderate rain
324,Awjilah,LY,29.11,21.29,71.22,45,100,8.75,overcast clouds
325,Okato,NZ,-39.2,173.88,54.0,96,100,14.0,overcast clouds
326,Wanning,CN,18.8,110.4,79.79,85,100,17.72,overcast clouds
327,Herat,AF,34.5,62.0,41.0,44,0,13.78,clear sky
328,Chernyshevskiy,RU,63.01,112.47,23.04,88,0,3.15,clear sky
329,Leh,IN,34.17,77.58,42.71,50,0,4.0,clear sky
330,Chuy,UY,-33.7,-53.46,54.41,95,18,5.28,few clouds
331,Byron Bay,AU,-28.65,153.62,78.01,57,40,13.87,scattered clouds
332,Maniitsoq,GL,65.42,-52.9,36.75,82,100,11.72,overcast clouds
333,Krabi,TH,8.07,98.91,75.2,100,75,12.66,broken clouds
334,Shizukuishi,JP,39.68,140.98,69.8,73,75,3.36,shower rain
335,Guerrero Negro,MX,27.98,-114.06,69.89,81,0,16.51,clear sky
336,Noumea,NC,-22.28,166.46,86.0,58,75,11.41,broken clouds
337,Encheng,CN,22.18,112.3,84.99,51,9,14.94,clear sky
338,Kargasok,RU,59.06,80.86,34.75,97,100,5.37,overcast clouds
339,Vila Velha,BR,-20.33,-40.29,75.0,93,90,4.7,overcast clouds
340,Shahrud,IR,36.42,54.98,46.04,48,0,1.32,clear sky
341,Kabare,CD,-2.47,28.82,60.89,79,89,1.88,overcast clouds
342,Cabo San Lucas,MX,22.89,-109.91,84.2,78,40,6.93,scattered clouds
343,Victoria,HK,22.29,114.16,84.99,65,12,1.01,few clouds
344,Khasan,RU,42.43,130.64,54.23,50,98,11.21,overcast clouds
345,Zhangjiakou,CN,40.81,114.88,47.68,42,0,3.71,clear sky
346,Celestun,MX,20.87,-90.4,81.18,88,44,13.13,scattered clouds
347,Mareeba,AU,-17.0,145.43,82.4,61,75,14.99,broken clouds
348,Majalgaon,IN,19.15,76.23,76.42,81,86,4.83,overcast clouds
349,Half Moon Bay,US,37.46,-122.43,64.4,77,1,11.41,clear sky
350,Sandwick,GB,60.0,-1.25,46.4,87,100,4.7,overcast clouds
351,Tura,IN,25.52,90.22,83.57,76,0,0.85,clear sky
352,Antigonish,CA,45.62,-62.0,42.01,75,44,10.36,scattered clouds
353,Oranjemund,NA,-28.55,16.43,59.86,47,8,4.07,clear sky
354,Clarence Town,AU,-32.58,151.78,81.0,60,20,12.75,few clouds
355,Gao,ML,16.64,1.64,87.21,25,16,13.82,few clouds
356,Terre Haute,US,39.47,-87.41,66.99,77,1,5.82,clear sky
357,Viedma,AR,-40.81,-63.0,50.0,86,0,8.28,clear sky
358,Dawlatabad,AF,36.41,64.91,52.99,41,76,5.7,broken clouds
359,Doka,SD,13.52,35.77,70.34,69,0,3.69,clear sky
360,Koraput,IN,18.82,82.72,74.16,82,100,8.57,overcast clouds
361,Ajaccio,FR,42.0,8.92,50.0,87,11,6.93,few clouds
362,Saint Anthony,US,45.02,-93.22,64.4,68,1,17.22,clear sky
