City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Abu Samrah,SY,2020-10-07 23:32:33,35.3,37.18,65.3,30,0,2.17
173,Jumla,NP,2020-10-07 23:27:40,29.27,82.18,50.25,55,96,4.16
174,Plettenberg Bay,ZA,2020-10-07 23:32:34,-34.05,23.37,60.55,86,16,5.46
175,Salalah,OM,2020-10-07 23:27:59,17.02,54.09,75.2,83,10,3.36
176,Imbituba,BR,2020-10-07 23:27:36,-28.24,-48.67,68.0,94,75,11.41
177,Palana,RU,2020-10-07 23:27:42,59.12,159.97,39.67,73,90,18.99
178,Lazaro Cardenas,MX,2020-10-07 23:27:09,17.96,-102.2,83.61,73,7,9.46
179,Saint George,US,2020-10-07 23:26:39,37.1,-113.58,93.0,6,1,3.36
180,Rupert,US,2020-10-07 23:32:34,42.62,-113.68,80.6,14,1,6.93
181,Camacha,PT,2020-10-07 23:32:34,33.08,-16.33,69.8,83,20,5.82
182,Zalantun,CN,2020-10-07 23:27:35,48.0,122.72,37.13,77,16,4.16
183,Ostrovnoy,RU,2020-10-07 23:27:04,68.05,39.51,45.97,91,100,10.02
184,Inhambane,MZ,2020-10-07 23:27:23,-23.86,35.38,67.46,71,7,7.94
185,Lagoa,PT,2020-10-07 23:27:26,39.05,-27.98,70.47,85,71,2.73
186,Kazerun,IR,2020-10-07 23:32:35,29.62,51.65,64.78,58,0,2.17
187,Mopti,ML,2020-10-07 23:32:35,14.67,-4.0,89.42,50,45,14.9
188,Narsaq,GL,2020-10-07 23:27:33,60.92,-46.05,32.0,79,100,2.24
189,Sayyan,YE,2020-10-07 23:32:35,15.17,44.32,56.55,35,0,7.72
190,Yauya,PE,2020-10-07 23:32:35,-8.98,-77.3,54.45,60,56,6.26
191,Tumsar,IN,2020-10-07 23:32:35,21.38,79.73,72.75,92,100,4.68
192,Novobirilyussy,RU,2020-10-07 23:32:35,56.95,90.67,20.97,98,54,4.61
193,Seoul,KR,2020-10-07 23:29:17,37.57,126.98,59.0,67,1,3.74
194,Dafeng,CN,2020-10-07 23:32:36,23.45,108.59,62.22,69,0,6.67
195,Tsiroanomandidy,MG,2020-10-07 23:32:36,-18.77,46.03,60.46,93,11,2.04
196,Jamestown,US,2020-10-07 23:27:17,42.1,-79.24,57.0,71,1,12.75
197,San Cristobal,VE,2020-10-07 23:29:36,7.77,-72.22,82.4,69,40,2.24
198,Akyab,MM,2020-10-07 23:32:36,20.15,92.9,78.42,88,26,6.08
199,San Jose,US,2020-10-07 23:30:00,37.34,-121.89,73.99,64,90,9.17
200,Dunedin,NZ,2020-10-07 23:24:18,-45.87,170.5,46.0,62,70,8.99
201,Tadine,NC,2020-10-07 23:32:37,-21.55,167.88,75.2,70,25,16.26
202,Valparaiso,CL,2020-10-07 23:32:37,-33.04,-71.63,60.8,54,0,16.11
203,Yar-Sale,RU,2020-10-07 23:32:37,66.83,70.83,33.69,89,100,17.67
204,Belmonte,BR,2020-10-07 23:32:37,-15.86,-38.88,77.0,78,40,9.17
205,Homer,US,2020-10-07 23:32:37,59.64,-151.55,48.99,66,90,5.82
206,Victor Harbor,AU,2020-10-07 23:27:23,-35.57,138.62,57.0,78,83,1.01
207,Cidreira,BR,2020-10-07 23:27:08,-30.18,-50.21,62.13,92,100,2.19
208,Kismayo,SO,2020-10-07 23:32:37,-0.36,42.55,78.71,86,10,13.65
209,Phangnga,TH,2020-10-07 23:32:37,8.45,98.53,77.0,88,75,12.75
210,Mae Tha,TH,2020-10-07 23:32:37,18.46,99.14,77.0,94,20,1.12
211,Liverpool,GB,2020-10-07 23:32:38,53.41,-2.98,51.01,67,100,1.99
212,Tiarei,PF,2020-10-07 23:32:38,-17.53,-149.33,87.8,62,20,9.17
213,Oriximina,BR,2020-10-07 23:32:08,-1.77,-55.87,80.62,67,71,5.12
214,Terrace,CA,2020-10-07 23:32:38,54.52,-128.6,44.6,93,90,8.05
215,Hamilton,US,2020-10-07 23:27:15,39.18,-84.53,78.8,39,1,8.05
216,La Ronge,CA,2020-10-07 23:32:38,55.1,-105.28,50.0,53,40,12.75
217,Evensk,RU,2020-10-07 23:27:34,61.95,159.23,38.08,69,59,12.73
218,Iqaluit,CA,2020-10-07 23:27:20,63.75,-68.51,33.8,98,90,12.75
219,Souillac,MU,2020-10-07 23:27:53,-20.52,57.52,73.4,88,40,13.87
220,Cockburn Town,TC,2020-10-07 23:27:38,21.46,-71.14,82.4,69,40,8.05
221,Tautira,PF,2020-10-07 23:27:25,-17.73,-149.15,87.8,62,20,9.17
222,Lusambo,CD,2020-10-07 23:32:39,-4.97,23.45,71.35,95,100,1.41
223,Salinopolis,BR,2020-10-07 23:31:10,-0.61,-47.36,80.02,79,68,14.61
224,Mount Pleasant,US,2020-10-07 23:28:08,32.79,-79.86,78.01,94,1,5.82
225,Dinghai,CN,2020-10-07 23:32:39,26.28,119.79,73.4,56,75,15.66
226,Antequera,ES,2020-10-07 23:32:39,37.02,-4.56,70.0,52,0,9.17
227,Coquimbo,CL,2020-10-07 23:24:35,-29.95,-71.34,57.2,76,4,8.05
228,Diamantino,BR,2020-10-07 23:32:39,-14.41,-56.45,88.36,31,25,3.91
229,Alice Springs,AU,2020-10-07 23:25:21,-23.7,133.88,59.0,62,0,8.05
230,Jojoima,SL,2020-10-07 23:32:39,7.88,-10.79,72.81,97,92,2.24
231,Sinnamary,GF,2020-10-07 23:27:08,5.38,-52.95,80.96,79,81,10.16
232,Belaya Gora,RU,2020-10-07 23:32:40,68.53,146.42,29.17,86,25,9.26
233,Saint-Francois,FR,2020-10-07 23:32:40,46.42,3.91,48.0,98,20,4.25
234,Nayoro,JP,2020-10-07 23:32:40,44.35,142.46,54.91,71,19,3.09
235,Lamu,KE,2020-10-07 23:32:40,-2.27,40.9,77.0,94,20,11.32
236,Ampanihy,MG,2020-10-07 23:32:40,-24.7,44.75,61.27,89,20,9.26
237,Manzhouli,CN,2020-10-07 23:27:52,49.6,117.43,33.26,86,0,4.32
238,Marrakesh,MA,2020-10-07 23:29:50,31.63,-8.01,73.4,38,20,5.82
239,San-Pedro,CI,2020-10-07 23:27:43,4.75,-6.64,76.48,89,100,6.24
240,Lorengau,PG,2020-10-07 23:27:07,-2.02,147.27,85.59,67,76,7.72
241,Bredasdorp,ZA,2020-10-07 23:27:03,-34.53,20.04,55.4,93,60,2.24
242,Port Macquarie,AU,2020-10-07 23:24:20,-31.43,152.92,77.0,59,63,13.47
243,Dong Xoai,VN,2020-10-07 23:32:41,11.53,106.92,74.64,96,100,4.59
244,Hobyo,SO,2020-10-07 23:26:59,5.35,48.53,79.3,83,6,20.0
245,Saint Anthony,US,2020-10-07 23:27:29,45.02,-93.22,66.99,29,1,11.41
246,Bundaberg,AU,2020-10-07 23:29:33,-24.85,152.35,77.0,47,75,5.82
247,Iquique,CL,2020-10-07 23:32:41,-20.22,-70.14,60.8,77,35,18.34
248,Moron,AR,2020-10-07 23:32:42,-34.65,-58.62,70.0,50,0,5.14
249,Ayapel,CO,2020-10-07 23:32:42,8.31,-75.14,78.21,92,71,6.51
250,Charagua,BO,2020-10-07 23:32:42,-19.8,-63.22,89.6,38,14,9.17
251,Nanortalik,GL,2020-10-07 23:27:04,60.14,-45.24,38.08,72,100,9.08
252,Castanheira De Pera,PT,2020-10-07 23:32:42,40.01,-8.21,64.0,93,63,2.24
253,Opotiki,NZ,2020-10-07 23:32:42,-38.08,177.28,62.01,57,70,5.99
254,Kavaratti,IN,2020-10-07 23:32:42,10.57,72.64,81.46,79,100,11.5
255,Pundaguitan,PH,2020-10-07 23:32:42,6.37,126.17,82.33,73,100,3.74
256,Lata,PT,2020-10-07 23:27:40,40.16,-8.33,59.0,93,55,2.24
257,Baykit,RU,2020-10-07 23:32:43,61.67,96.37,25.07,93,83,3.91
258,Lady Frere,ZA,2020-10-07 23:32:43,-31.7,27.23,62.53,72,0,2.89
259,Sur,OM,2020-10-07 23:27:19,22.57,59.53,77.77,53,0,7.02
260,Tiksi,RU,2020-10-07 23:27:11,71.69,128.87,17.42,94,0,12.66
261,Norman Wells,CA,2020-10-07 23:26:57,65.28,-126.83,41.0,70,75,8.05
262,Windhoek,NA,2020-10-07 23:32:43,-22.56,17.08,68.0,37,0,5.82
263,Mareeba,AU,2020-10-07 23:32:43,-17.0,145.43,82.99,65,73,3.0
264,Bilibino,RU,2020-10-07 23:27:25,68.05,166.44,24.19,92,100,2.68
265,Okha,RU,2020-10-07 23:32:43,53.57,142.95,51.01,70,11,15.57
266,Ossora,RU,2020-10-07 23:32:44,59.24,163.07,42.04,66,100,24.4
267,Tuatapere,NZ,2020-10-07 23:31:20,-46.13,167.68,46.99,62,79,7.0
268,Tucupita,VE,2020-10-07 23:32:44,9.06,-62.05,75.54,94,40,4.99
269,Dhidhdhoo,MV,2020-10-07 23:27:01,6.88,73.1,81.54,76,60,13.09
270,Anna,RU,2020-10-07 23:32:44,51.48,40.43,47.37,53,53,8.57
271,Biscarrosse,FR,2020-10-07 23:32:44,44.39,-1.17,62.6,88,90,8.05
272,Hofn,IS,2020-10-07 23:27:03,64.25,-15.21,45.9,76,100,8.1
273,Dzerzhinskoye,RU,2020-10-07 23:32:44,56.83,95.23,31.32,98,100,6.78
274,Bodo,NO,2020-10-07 23:32:45,67.28,14.4,55.4,66,75,10.29
275,Mirnyy,RU,2020-10-07 23:32:45,62.54,113.96,30.2,68,75,15.66
276,Kruisfontein,ZA,2020-10-07 23:27:01,-34.0,24.73,59.0,90,6,5.19
277,Leshukonskoye,RU,2020-10-07 23:27:18,64.9,45.76,46.44,89,100,9.89
278,Cabinda,AO,2020-10-07 23:32:45,-5.55,12.2,75.97,83,95,7.05
279,Punta Alta,AR,2020-10-07 23:32:45,-38.88,-62.07,49.5,59,1,13.76
280,Nautanwa,IN,2020-10-07 23:32:45,27.43,83.42,74.53,86,0,2.17
281,Avenal,US,2020-10-07 23:32:45,36.0,-120.13,89.6,21,90,10.29
282,Springbok,ZA,2020-10-07 23:32:45,-29.66,17.89,58.08,61,0,1.07
283,Esperance,AU,2020-10-07 23:27:11,-33.87,121.9,55.4,66,90,9.17
284,Port Elizabeth,ZA,2020-10-07 23:26:40,-33.92,25.57,60.8,87,11,11.41
285,Manta,EC,2020-10-07 23:31:24,-0.95,-80.73,78.8,69,20,10.29
286,Harnosand,SE,2020-10-07 23:32:46,62.63,17.94,51.8,100,46,2.24
287,Grand Forks,US,2020-10-07 23:27:15,47.94,-97.43,60.8,36,1,12.75
288,Bairnsdale,AU,2020-10-07 23:32:46,-37.83,147.62,70.0,57,82,25.99
289,Riyadh,SA,2020-10-07 23:30:19,24.69,46.72,75.2,31,0,2.24
290,Oudtshoorn,ZA,2020-10-07 23:32:46,-33.59,22.2,60.8,93,69,2.24
291,Jinchang,CN,2020-10-07 23:32:46,38.5,102.17,47.73,52,3,12.93
292,Bodden Town,KY,2020-10-07 23:32:46,19.28,-81.25,86.0,89,75,3.36
293,Comodoro Rivadavia,AR,2020-10-07 23:32:47,-45.87,-67.5,57.2,41,40,17.22
294,Zhanaozen,KZ,2020-10-07 23:32:47,43.3,52.8,44.2,42,0,9.17
295,Parati,BR,2020-10-07 23:32:47,-23.22,-44.71,75.97,75,65,2.59
296,Fortuna Foothills,US,2020-10-07 23:30:19,32.66,-114.41,104.0,9,1,4.7
297,Rodrigues Alves,BR,2020-10-07 23:32:47,-7.74,-72.65,79.57,64,17,3.67
298,Talnakh,RU,2020-10-07 23:27:19,69.49,88.4,21.2,100,75,8.95
299,Nizhniy Baskunchak,RU,2020-10-07 23:32:47,48.22,46.83,45.55,54,0,5.91
300,Messina,IT,2020-10-07 23:32:47,38.19,15.55,72.0,60,40,4.7
301,Morondava,MG,2020-10-07 23:32:48,-20.28,44.28,70.34,85,1,5.66
302,Port Hedland,AU,2020-10-07 23:27:29,-20.32,118.57,64.4,45,0,8.05
303,Manaus,BR,2020-10-07 23:31:34,-3.1,-60.02,82.4,83,40,2.24
